ALT,LDH,CK,CK MB,ALDO,LACTA,CO2,NA/K,JB_category
34.4,254.3,1755.917507,3002.074718,43.08727273,3.56,8.062170088,158.85,HEALTHY
6.3,660.8,1107.7,2100,17.3,5.2,3,152.4,HEALTHY
3.3,693.8,750.5,2198,15.7,3.2,6.7,147,HEALTHY
2.4,492.9,124.2,100,16.3,3.5,3.6,146,HEALTHY
2,73.4,1755.917507,3002.074718,16.3,3,0.8,159.6,HEALTHY
1.3,647.8,1755.917507,3002.074718,43.08727273,3.43,8.062170088,150.3,HEALTHY
1,640.9,1755.917507,1403,43.08727273,3.24,7.5,183,HEALTHY
0.7,612.9,1288.9,2400,15.3,4.6,3.4,146.1,HEALTHY
2.95329932,512,1755.917507,3002.074718,43.08727273,0.98,8.062170088,142.65,HEALTHY
2.95329932,597.2,1755.917507,3981,43.08727273,4.02,7.7,168.6,HEALTHY
2.95329932,592.6,1755.917507,201,43.08727273,0.35,5.9,120.45,HEALTHY
2.95329932,606.4,887.43,1418,43.08727273,1.89,7.7,149.7,HEALTHY
2.95329932,699.8,709.1,1952,15.6,2.8,7,158.4,HEALTHY
2.95329932,624.8,646.01,1086,43.08727273,3.33,5.4,152.7,HEALTHY
2.95329932,495.9,390.35,604,43.08727273,3.34,4.5,146.85,HEALTHY
2.95329932,426.9,158.58,3002.074718,43.08727273,0.91,8.062170088,157.05,HEALTHY
2.95329932,325.2,82.8,100,14.5,1.1,9.1,140.4,HEALTHY
2.95329932,677.7,78.78,3002.074718,43.08727273,2.23,8.062170088,181.95,HEALTHY
2.95329932,492.9,72.5,148,15.2,0.9,9.1,129.2,HEALTHY
4.75,662.6,1123.6,2440,43.08727273,1.3,6.2,134.2,HEALTHY
2.49,562.5,1755.917507,3002.074718,43.08727273,0.8,6.6,140.7,HEALTHY
2.03,609.8,280.9,3002.074718,43.08727273,1.9,7.4,133.4,HEALTHY
2.95329932,663.8,1511.4,2600,36.5,0.9,8.5,140.6,HEALTHY
2.95329932,424.1,1190.5,2020,8.7,3.3,8.2,165.2,HEALTHY
2.95329932,630.8,740.2,2080,7.1,3.3,5.8,151.7,HEALTHY
2.95329932,513.9,440,760,26.8,1.6,6.7,144.8,HEALTHY
2.95329932,451.1,398.6,960,27,4.4,5.5,148.5,HEALTHY
2.95329932,391.1,51.8,180,19.5,1.8,8.9,161.2,HEALTHY
2.95329932,211.2,1755.917507,3002.074718,21.6,0.3,5.2,104,HEALTHY
8.8,640.9,1755.917507,20,51.4,1.17,8.062170088,148.2,HEALTHY
4.1,576.9,5072.6,2420,13.7,1.7,10.7,114.9,HEALTHY
3.4,666.8,2267.1,3002.074718,10.7,3.9,6.7,143.6,HEALTHY
3.1,507.9,4736.2,2656,13.3,2.2,8.8,131.6,HEALTHY
2.6,579.9,155.3,3002.074718,6.1,3.3,8.1,153.5,HEALTHY
1.9,460.1,1620.1,5184,13.4,3.2,7.4,150.8,HEALTHY
1.9,262.2,186.3,3002.074718,13.5,2.7,8.1,148.5,HEALTHY
1.9,477.9,165.6,3002.074718,10.4,1.2,8.8,135.3,HEALTHY
1.6,531.9,1992.8,3002.074718,13.9,2.6,6.1,153.9,HEALTHY
1.4,492.9,512.4,3002.074718,10.5,0.8,9.1,124.8,HEALTHY
1.1,543.9,9415.4,3002.074718,13.5,4,5.9,152,HEALTHY
0.8,652.4,1755.917507,3002.074718,43.08727273,4.53,8.062170088,141.3,HEALTHY
0.8,670.8,1755.917507,3002.074718,15,4.16,4.8,148.2,HEALTHY
0.6,334.2,1288.9,3002.074718,7.2,3.9,7.2,151.7,HEALTHY
0.4,573.9,2256.8,3626,12.9,2.8,8.5,139.1,HEALTHY
0.3,433.8,1755.917507,3002.074718,18.9,1.61,8.062170088,143.1,HEALTHY
0.1,492.9,496.9,3002.074718,12.6,1.7,7.3,137.9,HEALTHY
2.95329932,684.8,3085,3002.074718,13.2,3.2,7.4,143.7,HEALTHY
2.95329932,543.9,398.6,3002.074718,13.3,2.2,8,125.4,HEALTHY
2.95329932,391.1,139.8,3002.074718,10.6,1.3,7.4,129.6,HEALTHY
2.95329932,669.8,98.3,3002.074718,10.6,1.9,8.1,128.2,HEALTHY
2.95329932,618.8,93.2,3002.074718,6.5,2.4,7.2,135.3,HEALTHY
2.95329932,401.6,1755.917507,1020,1.2,3.17,4.7,145.5,HEALTHY
2.95329932,477.5,1755.917507,220,0.5,0.79,6.5,146.25,HEALTHY
2.95329932,224.4,1755.917507,3002.074718,4.8,2.07,6.1,139.35,HEALTHY
